nces_school_id,nces_school_name,nces_district_name,nces_parish,graduation_year,closure_days_hurricane_related_broad,closure_max_consecutive_days_broad,closure_source_record_count_broad,closure_source_url_count_broad,closure_event_ids_broad,closure_storm_names_broad,eligibility_rate,recipient_rate,acceptance_rate,exposure_index_pointmax,exposure_index_stormmax
220018600981,Sophie B. Wright Institute of Academic Excellence,Sophie B Wright Institute of Academic Excellence,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.5,0.2297297297297297,0.4594594594594595,1.4380359256359223,1.7804254317397132
220019700953,Frederick A. Douglass High School,Frederick A. Douglass High School,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.5952380952380952,0.1547619047619047,0.26,1.3165982240349414,1.6300739916623086
220020302297,Morris Jeff Community School,Morris Jeff Community School,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.5957446808510638,0.2553191489361702,0.4285714285714285,1.4115107550600678,1.7475847443600838
220020700972,L.B. Landry High School,Lord Beaconsfield Landry-Oliver Perry Walker High,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.1401869158878504,0.0373831775700934,0.2666666666666666,1.325532516590605,1.6411354967312248
220021700414,Dr. Martin Luther King Charter School for Sci Tech,Dr Martin Luther King Charter School for Sci Tech,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.0666666666666666,0.0,0.0,1.2803993687750272,1.58525636134051
220023702068,Abramson Sci Academy,Sci Academy,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.5217391304347826,0.2826086956521739,0.5416666666666666,1.2038304574416294,1.4904567568324936
220028100234,New Orleans Charter Science and Mathematics HS,New Orleans Charter Science and Mathematics HS,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.4558823529411764,0.1470588235294117,0.3225806451612903,1.3874768471225352,1.7178284773898056
220029100945,Eleanor McMain Secondary School,Eleanor McMain Secondary School,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.3712121212121212,0.1363636363636363,0.3673469387755102,1.4528783667315812,1.7988017873819575
220029400911,Edna Karr High School,Edna Karr High School,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.4042553191489361,0.1595744680851064,0.3947368421052631,1.2778868832913226,1.5821456650273518
220029502427,Sarah Towles Reed High School,Sarah Towles Reed High School,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.2941176470588235,0.1764705882352941,0.6,1.1502403616994874,1.4241071144850797
220029700926,The Willow School,The Willow School,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.963855421686747,0.5,0.51875,1.458171610607873,1.8053553274192715
220029900888,Benjamin Franklin High School,Benjamin Franklin High School,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.9652173913043478,0.6130434782608696,0.6351351351351351,1.3407158828563908,1.6599339502031505
220030702461,Walter L. Cohen High School,Walter L. Cohen High School,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.6521739130434783,0.4782608695652174,0.7333333333333333,1.4217097284543232,1.7602120447529717
220031602481,Warren Easton Charter High School,Warren Easton Charter Foundation Inc.,ORLEANS,2022,13,13,10,7,2021_ida,IDA,0.3390804597701149,0.1206896551724138,0.3559322033898305,1.405868094115566,1.7405985927145102
220162001236,Berwick High School,St. Mary Parish,ST. MARY,2025,5,5,9,8,2024_francine,FRANCINE,0.8333333333333334,0.0256410256410256,0.0307692307692307,1.2598398557118131,1.4937903057874529
220162001238,Centerville High School,St. Mary Parish,ST. MARY,2025,5,5,9,8,2024_francine,FRANCINE,0.8260869565217391,0.0,0.0,1.1599656326532188,1.1599656326532188
