event_id,school_year_rows,unique_schools,graduation_years,total_closure_days,mean_closure_days,max_closure_days,mean_eligibility_rate,mean_exposure_pointmax,total_source_records
2021_ida,50,50,2022,637,12.74,41,0.5931638474089237,1.5050756554798193,430
2005_katrina_rita,18,18,2006,186,10.333333333333334,25,0.5563094108899329,1.2526839382285795,25
2024_francine,61,61,2025,158,2.5901639344262297,5,0.6653065064979342,0.797267498940306,154
2020_laura_delta_zeta,56,56,2021,149,2.6607142857142856,5,0.5981987856493383,1.4157350106778377,152
