exposure_pointmax_quartile,rows,mean_exposure_pointmax,strict_rows_with_closure,broad_rows_with_closure,strict_share_with_closure,broad_share_with_closure,strict_mean_closure_days,broad_mean_closure_days,strict_total_closure_days,broad_total_closure_days,students,mean_eligibility_rate,student_weighted_eligibility_rate,mean_recipient_rate,student_weighted_recipient_rate,mean_acceptance_rate,student_weighted_acceptance_rate
Q1 lowest,1581,0.0901602633198499,0,0,0.0,0.0,0.0,0.0,0,0,160210,0.6263348173751448,0.6434117720491854,0.43739356830136894,0.4639660445665065,0.6743712616684506,0.7003697995052283
Q2,1581,0.16506528697149792,0,0,0.0,0.0,0.0,0.0,0,0,158707,0.6515738513903343,0.6579671974141027,0.44091180559392795,0.4500998695709704,0.6471397848515966,0.6601273293034564
Q3,1580,0.3316607799643151,0,0,0.0,0.0,0.0,0.0,0,0,161234,0.6209349100181335,0.6318828534924396,0.4105472413128547,0.43475941798876166,0.6370599637519875,0.6656445668126083
Q4 highest,1581,0.8309463571726841,167,185,0.105629348513599,0.11701454775458571,0.6533839342188489,0.7147375079063883,1033,1130,175002,0.6176433202231412,0.6364727260259883,0.38634672562672656,0.40318967783225335,0.6045319727904843,0.6189828684915477
