nces_school_id,event_id,event_label,affected_graduation_year,pre_graduation_years,n_pre_years_available,pre_years_available,pre_enrollment,pre_grade12_enrollment,pre_frl_share,pre_black_share,pre_hispanic_share,pre_teacher_fte,pre_student_teacher_ratio,pre_locale
220003000008,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",288.25,,0.8381258041837613,0.412414243397367,0.010287874074192394,18.725,15.489123449649764,6
220003000009,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",416.5,,0.8197620386269265,0.49271337697324735,0.003570044377691874,31.825000000000003,13.189982298248577,6
220003000010,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",183.0,,0.5373496303458479,0.00834902311799747,0.0,13.325,13.793643348521398,7
220003000011,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",213.0,,0.6182525146920503,0.034113997017808706,0.009403586591551038,14.05,15.204312354312354,7
220003000012,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",187.0,,0.5166104317260334,0.0,0.0,12.6,14.826819685690655,7
220003000013,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",444.25,,0.5576461272489852,0.05458528005663059,0.003978256223705718,26.0,17.08653846153846,7
220003000014,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",425.25,95.0,0.27223092666416965,0.028696723627798116,0.0029554406730794595,25.875,16.4488969521045,7
220003000015,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",180.75,,0.6230480582854333,0.15626890429952536,0.0,11.65,15.522514310358346,7
220003000016,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",307.0,55.5,0.4794847217589554,0.06287218259049246,0.003266539223457202,19.625,15.682424386758752,7
220003000017,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",467.5,,0.47737263509356015,0.0741356678844174,0.0005,27.85,16.815219198790626,7
220003000018,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",185.25,,0.6679744260389422,0.014850334205172917,0.0,10.6,17.506206293706292,7
220003000019,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",623.25,129.0,0.4416539669559968,0.32421446248477986,0.0024135479534857316,37.075,16.854740655895327,6
220003000020,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",298.0,,0.6651898006574274,0.0628687184247675,0.0,18.275,16.32864479492541,7
220003000021,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",364.5,,0.8973150396669155,0.5844859872778667,0.01218431384038439,28.425,12.849766556684134,6
220003000022,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",403.5,,0.8419317612133667,0.3356102335914988,0.002375779464462064,27.65,14.613005126356683,6
220003000023,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",317.75,,0.7709408956462317,0.3990144319811484,0.0015512313948135644,20.8,15.307231898536246,6
220003001015,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",239.25,,0.4968410961466517,0.0668104657687991,0.013545675004008337,14.5,16.546875,7
220003001019,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",55.0,0.25,0.8015439502358107,0.40645023581070094,0.0,13.775,3.8611336032388666,7
220003001504,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",437.5,,0.7815309135376399,0.46710954110057246,0.005219917775971588,28.425,15.408569256227917,7
220003001505,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",625.75,,0.8236732599932687,0.4474360460467751,0.015566688719308414,41.55,15.145812709425712,6
220003002097,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",0,,,,,,,,,
220003002180,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",0,,,,,,,,,
220003002381,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",0,,,,,,,,,
220003101371,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",3,"2002,2003,2004",206.0,30.0,0.7202455436194073,0.953051587770039,0.0025380710659898475,16.4,13.243978243978244,1
220003201375,2005_katrina_rita,2005 Katrina/Rita,2006,"2002,2003,2004,2005",4,"2002,2003,2004,2005",329.0,,0.6783253171259915,0.17626555766359586,0.014480026281070988,21.25,15.614400584795321,7
