sample,variable,count,mean,std,min,p25,median,p75,max
excluding_2025,recipient_rate,6059,0.43561466936048054,0.19341946644939753,0.0,0.2857142857142857,0.4482758620689655,0.5764705882352941,0.9615384615384616
excluding_2025,acceptance_rate,6054,0.6668208078021949,0.17577069698585784,0.0,0.5609756097560976,0.7,0.8,1.0
