indicator,count_true,count_total,share_true,students_true,students_total,student_share_true
within_50km_any_tropical,923,6323,0.14597501186145817,100671,655153,0.15366029003912063
within_100km_any_tropical,1987,6323,0.3142495650798672,205031,655153,0.3129513258734983
within_50km_hurricane,207,6323,0.03273762454531077,26602,655153,0.04060425579979028
within_100km_hurricane,642,6323,0.10153408192313775,76412,655153,0.11663229810441225
within_50km_major_hurricane,54,6323,0.008540249881385418,8098,655153,0.012360471523445668
