exposure_pointmax_quartile,rows,students,mean_exposure_pointmax,mean_eligibility_rate,student_weighted_eligibility_rate,mean_recipient_rate,mean_acceptance_rate,share_within_50km_hurricane,share_within_100km_hurricane
Q1 lowest,1581,160210,0.0901602633198499,0.6263348173751448,0.6434117720491854,0.43739356830136894,0.6743712616684506,0.0,0.0
Q2,1581,158707,0.16506528697149792,0.6515738513903343,0.6579671974141027,0.44091180559392795,0.6471397848515966,0.0,0.0
Q3,1580,161234,0.3316607799643151,0.6209349100181335,0.6318828534924396,0.4105472413128547,0.6370599637519875,0.0,0.0
Q4 highest,1581,175002,0.8309463571726841,0.6176433202231412,0.6364727260259883,0.38634672562672656,0.6045319727904843,0.13092979127134724,0.4060721062618596
